cle,Name-Nom,role,AwardAmount,FiscalYear-Exercice financier,Institution,Établissement,Province_ID,ProvinceEN,ProvinceFR,Competition_Year,Title,Keywords,ProgramNameEN,ProgramNameFR,DisciplineEN,DisciplineFR,MainDisciplineEN,MainDisciplineFR,Area_of_ResearchEN,Area_of_ResearchFR
8,"St. Germain, Jill",Applicant,1080.00,2001,The University of Calgary,The University of Calgary,AB,Alberta,Alberta,2000,"A comparison of the implementation of Canadian and American Indian treaty policy in the plains west, 1868-1885",,Queen's Fellowship - SSHRC Fund,Bourse de la Reine - fonds du CRSH,Political History,Histoire politique,History,Histoire,Politics and government,Politique et gouvernement
9,"Brown, R. Blake",Applicant,4768.00,2001,Grantee,Bénéficiaire,NS,Nova Scotia,Nouvelle-Écosse,2001,"The transformation of the criminal trial in British North America, 1780-1867",,Queen's Fellowship - SSHRC Fund,Bourse de la Reine - fonds du CRSH,Legal History,Histoire juridique,History,Histoire,Law and justice,Droit et justice
9,"Brown, R. Blake",Applicant,17700.00,2001,Dalhousie University,Dalhousie University,NS,Nova Scotia,Nouvelle-Écosse,2001,"The transformation of the criminal trial in British North America, 1780-1867",,Queen's Fellowship - SSHRC Fund,Bourse de la Reine - fonds du CRSH,Legal History,Histoire juridique,History,Histoire,Law and justice,Droit et justice
1788,"Koortbojian, Michael",Applicant,11601.00,2001,University of Toronto,University of Toronto,ON,Ontario,Ontario,1999,Iulius vivus et divus: Caesar's self-representation and its ideological transformation,"Julius Caesar, apotheosis, divinization, portraiture, statue",Standard Research Grants,Subventions ordinaires de recherche,Roman Classical Art,Art romain classique,"Classics, Classical & Dead Languages",Études anciennes et langues classiques et mortes,Arts and culture,Beaux-arts et culture
1789,"Ste-Marie, Diane",Applicant,23508.00,2001,University of Ottawa,Université d'Ottawa,ON,Ontario,Ontario,1999,Cognition and motor learning: examining contextual interference and observational learning,"Contextual interference, observational learning, motor learning cognition, handwriting, children",Standard Research Grants,Subventions ordinaires de recherche,Education,Éducation,Education,Éducation,Education,Éducation
1790,"Adam, Heribert",Applicant,25000.00,2001,Simon Fraser University,Simon Fraser University,BC,British Columbia,Colombie-Britannique,1999,Truth commissions: how emerging democracies deal with the crimes of previous regimes,"Reconciliation, human rights, justice, South Africa, apartheid, democratisation, Germany",Standard Research Grants,Subventions ordinaires de recherche,Comparative Politics,Politique comparée,Political Science,Sciences politiques,Politics and government,Politique et gouvernement
1791,"Choudhury, Masudul",Applicant,2100.00,2001,Cape Breton University,Cape Breton University,NS,Nova Scotia,Nouvelle-Écosse,1999,Dynamic input-output model of trade and development: a study of selected Islamic countries with theoretical and policy analysis,economic development; economic systems; international economics; epistemology,Standard Research Grants,Subventions ordinaires de recherche,Interdisciplinary Studies,Études pluridisciplinaires,Interdisciplinary Studies,Études pluridisciplinaires,"International relations, development and trade","Relations internationales, commerce et développement"
1792,"Howlett, Michael",Applicant,13500.00,2001,Simon Fraser University,Simon Fraser University,BC,British Columbia,Colombie-Britannique,1999,Complex network management and policy dynamics: assessing the impact of policy subsystem structure on policy change,policy; policy subsystems; complex network management; governance; policy change,Standard Research Grants,Subventions ordinaires de recherche,Public Policy Studies,Analyse de politique,Political Science,Sciences politiques,Politics and government,Politique et gouvernement
1793,"Di Matteo, Livio",Applicant,13375.00,2001,Lakehead University,Lakehead University,ON,Ontario,Ontario,1999,Late 19th and early 20th century wealth and economic development in Ontario,historical; micro-data; wealth; economic inequality; economic development,Standard Research Grants,Subventions ordinaires de recherche,Economics,Science économique,Economics,Sciences économiques,Social development and welfare,Développement social et bien-être
1794,"Gencay, Ramazan",Applicant,12000.00,2001,University of Windsor,University of Windsor,ON,Ontario,Ontario,1999,Real-time trading models with heterogeneous expectations and the statistical properties of foreign exchange rates,real-time trading models; heterogeneous expectations; technical trading rules; bootstrap,Standard Research Grants,Subventions ordinaires de recherche,Financial Economics,Économie financière,Economics,Sciences économiques,Financial and Monetary Systems,Systèmes financiers et monétaires
1795,"Stengos, Thanasis",Applicant,11500.00,2001,University of Guelph,University of Guelph,ON,Ontario,Ontario,1999,"Preference heterogeneity, endogeniety and the rank of demand systems",semiparametric regression; demand systems; rank tests; additive separable model,Standard Research Grants,Subventions ordinaires de recherche,Mathematical and Quantitative Methods,Méthodes mathématiques et quantitatives,Economics,Sciences économiques,Employment and labour,Emploi et travail
